label_name,model_name,target_field,train_size,tokenizer,Macro Recall,Macro Precision,Macro F1 score,MCC,Recall,Precision
InformationTheory,RNN,abstract,112500,P2,0.49980235747210117,0.48461794757885385,0.3220311663205654,-0.003487203879779978,"[1.00000000e+00 9.99882062e-01 9.99764123e-01 ... 1.17938436e-04
 0.00000000e+00 0.00000000e+00]",[0.46936064 0.46933127 0.46930189 ... 0.5        0.         1.        ]
ComputationalLinguistics,RNN,abstract,112500,P2,0.5006622849134547,0.5102396390999612,0.4571399586923212,0.005208285128571667,[1.         0.99970309 0.99970309 ... 0.         0.         0.        ],[0.18655146 0.18651673 0.18652706 ... 0.         0.         1.        ]
ComputerVision,RNN,abstract,112500,P2,0.5049641206456448,0.5050882311204601,0.504866188207601,0.01005158557738789,"[1.00000000e+00 9.99839202e-01 9.99678405e-01 ... 1.60797556e-04
 1.60797556e-04 0.00000000e+00]",[0.34425685 0.34422055 0.34418424 ... 0.5        1.         1.        ]
