label_name,model_name,target_field,train_size,tokenizer,Macro Recall,Macro Precision,Macro F1 score,MCC,Recall,Precision
InformationTheory,RNN,title,900,P1,0.5374173989615931,0.5418669446938629,0.5183586007883557,0.07915938789336915,"[1.00000000e+00 9.99882062e-01 9.99882062e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.46933466 0.46930529 0.46933127 ... 1.         1.         1.        ]
ComputationalLinguistics,RNN,title,900,P1,0.4880246928743355,0.49209913150181633,0.38567383497335533,-0.019454082021543636,[1.         0.99970309 0.99970309 ... 0.         0.         0.        ],[0.18644818 0.18640314 0.18641346 ... 0.         0.         1.        ]
ComputerVision,RNN,title,900,P1,0.5083570345836086,0.5076471794870776,0.5028489775492042,0.015988463771178258,"[1.00000000e+00 9.99839202e-01 9.99839202e-01 ... 1.60797556e-04
 1.60797556e-04 0.00000000e+00]",[0.34423779 0.34420149 0.34422055 ... 0.5        1.         1.        ]
InformationTheory,RNN,title,900,P1,0.5015932083994556,0.5015872179764811,0.5010991702860317,0.0031804207343661996,"[1.00000000e+00 9.99882062e-01 9.99764123e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.46938663 0.46935725 0.46932787 ... 1.         1.         1.        ]
ComputationalLinguistics,RNN,title,900,P1,0.4825421818018448,0.48636443638152005,0.3372860204647648,-0.030857556006968656,"[1.00000000e+00 9.99703088e-01 9.99703088e-01 ... 2.96912114e-04
 2.96912114e-04 0.00000000e+00]",[0.18642754 0.18638251 0.18639283 ... 0.5        1.         1.        ]
ComputerVision,RNN,title,900,P1,0.5348985869889328,0.5316504813018276,0.5138860676449445,0.06646975477473711,[1.        0.9998392 0.9996784 ... 0.        0.        0.       ],[0.34425685 0.34422055 0.34418424 ... 0.         0.         1.        ]
InformationTheory,RNN,title,112500,P1,0.8996613750932746,0.8988381329002814,0.8991588276108504,0.7984990836176599,"[1.00000000e+00 9.99882062e-01 9.99882062e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.48085975 0.48085758 0.48091213 ... 1.         1.         1.        ]
ComputationalLinguistics,RNN,title,112500,P1,0.8535835825579707,0.7965517493764473,0.8194123842922465,0.6476289986044719,"[1.00000000e+00 9.99703088e-01 9.99703088e-01 ... 5.93824228e-04
 2.96912114e-04 0.00000000e+00]",[0.20291601 0.20286799 0.20288021 ... 1.         1.         1.        ]
ComputerVision,RNN,title,112500,P1,0.8759449910299069,0.8618726800601269,0.8678492454387821,0.7376834591047103,"[1.00000000e+00 9.99839202e-01 9.99839202e-01 ... 3.21595112e-04
 1.60797556e-04 0.00000000e+00]",[0.36675119 0.36671385 0.36673548 ... 1.         1.         1.        ]
